"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"14","a","a","GO:0006261","DNA-dependent DNA replication","45/1064","135/23239",6.34963060748482e-27,2.30673009069056e-24,1.70151003647187e-24,"12544/68275/17218/18968/23834/237877/67141/52679/14156/18969/13006/19075/19076/70024/19361/18538/66634/12448/19891/12545/72151/12144/226409/327762/218973/268465/12190/212377/108961/77011/210711/16881/12447/17216/17688/18973/17217/106344/98415/17220/56452/24061/17215/18148/14182",45
"15","a","a","GO:1901990","regulation of mitotic cell cycle phase transition","59/1064","254/23239",1.46508778762744e-25,4.96762432524876e-23,3.66426166673978e-23,"12544/13205/68612/27214/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/14199/67052/52563/67849/108000/12235/19650/20460/19891/12545/56150/17193/12144/18817/12530/76843/22137/214444/12236/108911/268697/381293/269582/12532/229841/77011/50875/12237/70385/12443/17688/14165/105837/13194/57913/67628/14056/19684/12649/11792/15170/15902/11504/235559/52468",59
"16","a","a","GO:1901987","regulation of cell cycle phase transition","61/1064","284/23239",1.88127377919345e-24,5.98009902561117e-22,4.41109194016148e-22,"12544/13205/68612/55982/27214/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/14199/67052/52563/67849/108000/12235/19650/20460/19891/12545/56150/17193/12144/18817/12530/76843/22137/214444/12236/108911/268697/381293/269582/12532/229841/77011/50875/12237/70385/12443/17688/14165/105837/13194/57913/67628/14056/19684/12649/11792/18148/15170/15902/11504/235559/52468",61
"17","a","a","GO:0090068","positive regulation of cell cycle process","56/1064","241/23239",2.496696305495e-24,7.46952788808681e-22,5.50973723392209e-22,"12544/13205/68612/54141/27214/12189/23834/237877/11799/67141/12534/52679/20877/74335/19357/26934/67052/50850/14156/67849/240641/20873/227937/108907/13605/12545/12704/56150/71819/12530/76843/108911/268697/381293/18226/12532/229841/108961/50875/239336/12443/19385/14165/105837/57913/16569/67628/230861/14056/19684/11792/18432/18148/15902/11504/14182",56
"18","a","a","GO:0051052","regulation of DNA metabolic process","75/1064","428/23239",5.95726938970041e-24,1.6832595620009e-21,1.24162035701124e-21,"14235/55982/27214/13433/57441/12189/237877/67141/12534/52679/19360/20877/71988/13006/14048/22596/18005/98956/19361/18538/18706/12428/230484/19891/12545/72151/58186/19362/12144/245474/75317/60530/226409/327762/21781/20937/208084/12190/216853/108961/77011/56351/60344/18861/11991/12462/53379/17688/84505/53817/15519/110052/14165/12465/106344/17685/70640/74493/12469/98415/12466/12649/319651/12461/24061/102871/18148/15289/21454/21974/13435/219150/64074/15234/14182",75
"19","a","a","GO:0045786","negative regulation of cell cycle","73/1064","445/23239",1.37301952166316e-21,3.67535646693623e-19,2.71104796410388e-19,"14235/57441/12189/23834/11799/67141/12534/52679/30939/270906/20877/21973/74335/19357/14199/67052/13006/18005/11636/18128/12235/20878/19650/20460/19891/11787/208628/56150/17193/12144/74041/18817/14155/327762/76843/22137/268465/214444/12236/268697/269582/229841/108961/77011/72440/26416/12237/70385/12443/12449/12317/17688/53817/28114/14165/12159/105837/71702/17685/57913/14056/12649/18432/24061/18148/21974/15902/21981/56710/235559/17300/67874/52468",73
"20","a","a","GO:1902850","microtubule cytoskeleton organization involved in mitosis","38/1064","128/23239",6.36293517632017e-21,1.61809441533822e-18,1.19355268254764e-18,"66442/107995/16551/17865/20877/67203/26934/67052/50850/13006/14048/18005/66977/72080/108907/72119/20878/20460/12615/18817/71819/16571/21335/214444/268697/18226/229841/56742/70385/16211/18472/14165/74237/16569/16765/66165/24061/24063",38
"21","a","a","GO:0051983","regulation of chromosome segregation","34/1064","104/23239",2.33260822067045e-20,5.64935495729995e-18,4.16712566339322e-18,"54141/23834/11799/67141/30939/20877/74335/19357/26934/67052/52563/14156/67849/18005/51944/12235/13605/73804/20460/12704/56150/58186/18817/17345/21335/22137/214444/12236/108911/268697/229841/12237/70385/105837",34
"22","a","a","GO:0000075","cell cycle checkpoint","43/1064","176/23239",7.158781278167e-20,1.58302441655467e-17,1.1676840492168e-17,"12189/23834/11799/12534/20877/21973/74335/67052/12235/20878/20460/19891/208628/56150/17193/12144/18817/14155/327762/76843/22137/268465/214444/12236/268697/269582/229841/77011/72440/26416/12237/70385/12443/17688/53817/28114/105837/71702/17685/57913/12649/21974/235559",43
"23","a","a","GO:0007088","regulation of mitotic nuclear division","43/1064","176/23239",7.158781278167e-20,1.58302441655467e-17,1.1676840492168e-17,"68612/16551/23834/11799/67141/30939/20877/74335/19357/67052/52563/67849/240641/13006/240665/18005/108907/12235/12428/12448/20460/12704/56150/18817/17345/12442/21335/22137/214444/12236/268697/18226/229841/12237/70385/12443/12449/12447/19385/12159/105837/12649/24061",43
"24","a","a","GO:0034502","protein localization to chromosome","30/1064","84/23239",2.24232285449078e-19,4.5784906777982e-17,3.37722556774485e-17,"68275/12534/20877/71988/19357/83815/67052/67849/66634/19891/12615/18817/245474/22137/12236/108911/12190/216853/12237/70385/12462/12465/105837/17685/74493/12469/12466/14056/12461/21454",30
"25","a","a","GO:0051783","regulation of nuclear division","46/1064","207/23239",2.25053611767509e-19,4.5784906777982e-17,3.37722556774485e-17,"68612/107995/16551/23834/11799/67141/30939/20877/74335/19357/67052/52563/67849/240641/13006/240665/18005/108907/12235/12428/12448/20460/12704/56150/18817/17345/12442/21335/22137/214444/12236/268697/18226/229841/12237/70385/12443/12449/12447/12317/19385/12159/105837/230861/12649/24061",46
"26","a","a","GO:0007051","spindle organization","40/1064","161/23239",7.35681342815556e-19,1.39879697430903e-16,1.03179262297688e-16,"22154/54141/66442/107995/16551/17865/67141/20877/74470/26934/67052/50850/212307/13006/18005/66977/51944/72119/20878/20460/18817/71819/12316/16571/21335/75786/268697/18226/229841/105988/56742/71909/16211/19385/74237/16569/13589/16765/66165/24061",40
"27","a","a","GO:0010948","negative regulation of cell cycle process","47/1064","222/23239",7.42578024112146e-19,1.39879697430903e-16,1.03179262297688e-16,"12189/23834/11799/67141/12534/52679/30939/20877/74335/19357/14199/67052/13006/18005/12235/19650/20460/19891/56150/17193/12144/18817/76843/22137/214444/12236/268697/269582/229841/108961/77011/12237/70385/12443/12449/12317/17688/14165/12159/105837/57913/14056/12649/24061/18148/235559/52468",47
"28","a","a","GO:0051304","chromosome separation","31/1064","94/23239",8.27642758040742e-19,1.50335395264115e-16,1.10891683821699e-16,"23834/11799/67141/30939/20877/21973/74335/19357/67052/52563/12235/20460/12704/56150/12144/18817/215387/78658/21335/68298/22137/268465/214444/12236/268697/229841/105988/12237/70385/105837/21974",31
"29","a","a","GO:0071103","DNA conformation change","45/1064","208/23239",1.69492269477529e-18,2.97254373297487e-16,2.19263320659859e-16,"68275/27221/66929/54392/12534/19360/21973/66336/67849/15201/108907/19361/14211/59001/19891/12615/12144/70099/215387/78658/226409/68298/20937/208084/268697/76044/381280/230936/56086/319156/70645/57741/17216/53379/17217/110749/50927/17220/20586/20588/18148/53605/15289/21974/15364",45
"30","a","a","GO:0033044","regulation of chromosome organization","58/1064","346/23239",7.68078179380029e-18,1.30214854010894e-15,9.60501975898395e-16,"12544/55982/13433/12189/23834/11799/109689/67141/19360/30939/20877/21973/74335/19357/70472/67052/52563/14156/67849/22596/18005/98956/12235/20460/12704/56150/18817/17345/245474/21335/218973/22137/20937/214444/12236/208084/268697/229841/12237/70385/57741/11991/12462/17216/53379/84505/12465/105837/70640/74493/12469/12466/12649/12461/21454/14461/219150/16392",58
"31","a","a","GO:1901991","negative regulation of mitotic cell cycle phase transition","36/1064","142/23239",2.03911562230189e-17,3.3454651790411e-15,2.46771072254123e-15,"12189/23834/11799/67141/12534/52679/20877/74335/19357/14199/67052/12235/19650/20460/19891/56150/17193/12144/18817/22137/214444/12236/268697/269582/229841/77011/12237/70385/12443/17688/105837/57913/14056/12649/235559/52468",36
"32","a","a","GO:0045930","negative regulation of mitotic cell cycle","46/1064","233/23239",3.167812579338e-17,5.03484211828533e-15,3.71384343182915e-15,"12189/23834/11799/67141/12534/52679/30939/20877/21973/74335/19357/14199/67052/12235/19650/20460/19891/208628/56150/17193/12144/74041/18817/22137/268465/214444/12236/268697/269582/229841/77011/12237/70385/12443/17688/12159/105837/17685/57913/14056/12649/21974/56710/235559/17300/52468",46
"33","a","a","GO:0044839","cell cycle G2/M phase transition","34/1064","128/23239",3.34037079038687e-17,5.14821995148716e-15,3.79747416170297e-15,"14235/55982/12189/23834/237877/11799/67141/12534/19357/14199/108000/67121/12428/12545/12704/17193/12144/77035/18817/12530/76843/108911/268697/381293/269582/12532/77011/27401/12443/17688/12649/18148/12013/235559",34
"34","a","a","GO:0051054","positive regulation of DNA metabolic process","46/1064","237/23239",6.33523033968652e-17,9.4767592669546e-15,6.99032846149931e-15,"14235/55982/27214/13433/12189/237877/12534/52679/19360/20877/14048/22596/18005/19361/18538/12545/72151/12144/245474/327762/216853/108961/56351/18861/11991/12462/53379/17688/84505/53817/15519/14165/12465/106344/17685/74493/12469/12466/12461/18148/21454/21974/219150/64074/15234/14182",46
"35","a","a","GO:0007093","mitotic cell cycle checkpoint","34/1064","131/23239",7.26784768831782e-17,1.05612209550813e-14,7.79025839433525e-15,"12189/23834/11799/12534/20877/21973/74335/67052/12235/20460/19891/208628/56150/17193/12144/18817/22137/268465/214444/12236/268697/269582/229841/77011/12237/70385/12443/17688/105837/17685/57913/12649/21974/235559",34
"36","a","a","GO:0000723","telomere maintenance","33/1064","124/23239",9.16722955995123e-17,1.29512582060867e-14,9.55321817300181e-15,"68275/19360/20877/74335/22596/18005/227525/98956/19361/18538/12448/19891/12144/245474/327762/208084/12190/216853/56351/11991/12462/12447/53379/15519/12465/70640/74493/12469/12466/12461/11792/21454/219150",33
"37","a","a","GO:1903046","meiotic cell cycle process","41/1064","194/23239",1.36719729686805e-16,1.87934201401916e-14,1.38625637725113e-14,"107995/67141/19360/30939/21973/64707/66977/67121/228421/19361/12235/20878/12448/14211/72787/19891/12144/18817/12530/12316/211651/237911/70099/215387/78658/60530/68298/22137/268465/26909/12236/12190/12532/105988/12447/12317/17688/28114/230861/21974/235559",41
"38","a","a","GO:1901988","negative regulation of cell cycle phase transition","37/1064","159/23239",1.53114953760423e-16,2.01503051480375e-14,1.48634409312676e-14,"12189/23834/11799/67141/12534/52679/20877/74335/19357/14199/67052/12235/19650/20460/19891/56150/17193/12144/18817/76843/22137/214444/12236/268697/269582/229841/77011/12237/70385/12443/17688/105837/57913/14056/12649/235559/52468",37
"39","a","a","GO:0032200","telomere organization","33/1064","126/23239",1.54514726852824e-16,2.01503051480375e-14,1.48634409312676e-14,"68275/19360/20877/74335/22596/18005/227525/98956/19361/18538/12448/19891/12144/245474/327762/208084/12190/216853/56351/11991/12462/12447/53379/15519/12465/70640/74493/12469/12466/12461/11792/21454/219150",33
"40","a","a","GO:0000086","G2/M transition of mitotic cell cycle","31/1064","112/23239",2.32575871571681e-16,2.86938831949173e-14,2.11654282564491e-14,"14235/12189/23834/11799/67141/12534/19357/14199/108000/67121/12428/12545/12704/17193/12144/77035/18817/12530/76843/108911/268697/381293/269582/12532/77011/27401/12443/17688/12649/12013/235559",31
"41","a","a","GO:0071897","DNA biosynthetic process","37/1064","161/23239",2.36779482234559e-16,2.86938831949173e-14,2.11654282564491e-14,"68275/18968/19360/20877/21877/22596/18005/98956/18538/19891/72151/12144/245474/76843/21781/208084/216853/16881/56351/11991/12462/53379/18973/53817/15519/12465/106344/70640/12469/12466/12649/12461/18148/21454/219150/64074/15234",37
"42","a","a","GO:0010965","regulation of mitotic sister chromatid separation","23/1064","58/23239",2.36953026776745e-16,2.86938831949173e-14,2.11654282564491e-14,"23834/11799/67141/30939/20877/74335/19357/67052/52563/12235/20460/12704/56150/18817/21335/22137/214444/12236/268697/229841/12237/70385/105837",23
"43","a","a","GO:0045931","positive regulation of mitotic cell cycle","37/1064","162/23239",2.93631590640759e-16,3.47304713953232e-14,2.56181882262831e-14,"12544/13205/68612/27214/72349/11799/67141/12534/74335/67052/67849/240641/108907/12545/56150/12530/76843/108911/12190/268697/18226/12532/229841/50875/12443/19385/18472/14165/105837/67628/19684/11792/15289/11504/64074/17536/14182",37
"44","a","a","GO:0051321","meiotic cell cycle","52/1064","309/23239",3.36259412721234e-16,3.88685312068227e-14,2.86705394004421e-14,"68275/107995/67141/19360/30939/21973/19357/13006/18005/64707/66977/67121/228421/19361/12235/20878/12448/14211/72787/19891/12144/18817/17345/17427/12530/12316/211651/237911/70099/215387/78658/60530/68298/22137/268465/26909/12236/12190/12532/105988/12237/18861/12447/12317/17688/28114/74237/230861/24061/21974/235559/15364",52
"45","a","a","GO:0051306","mitotic sister chromatid separation","23/1064","62/23239",1.34850831824912e-15,1.52411406813667e-13,1.12423009268769e-13,"23834/11799/67141/30939/20877/74335/19357/67052/52563/12235/20460/12704/56150/18817/21335/22137/214444/12236/268697/229841/12237/70385/105837",23
"46","a","a","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","22/1064","57/23239",2.09725018107706e-15,2.31882922194737e-13,1.71043470145507e-13,"23834/11799/67141/20877/74335/19357/67052/52563/12235/20460/12704/56150/18817/21335/22137/214444/12236/268697/229841/12237/70385/105837",22
"47","a","a","GO:1905818","regulation of chromosome separation","23/1064","64/23239",3.03700439699001e-15,3.28642646023217e-13,2.4241620763432e-13,"23834/11799/67141/30939/20877/74335/19357/67052/52563/12235/20460/12704/56150/18817/21335/22137/214444/12236/268697/229841/12237/70385/105837",23
"48","a","a","GO:0006302","double-strand break repair","40/1064","204/23239",4.75398179515899e-15,4.97031640261195e-13,3.66624741993687e-13,"12544/68275/14235/18968/12189/19360/74335/71988/19357/67849/14048/22596/227525/19361/66634/19891/57434/12545/19362/12144/237911/75317/60530/327762/268465/26909/12190/216853/212377/16881/60344/110052/17685/98415/272551/12649/102871/21974/97827/623474",40
"49","a","a","GO:0001655","urogenital system development","53/1064","340/23239",4.78854706504101e-15,4.97031640261195e-13,3.66624741993687e-13,"16869/21410/14634/74107/15201/14048/108000/18128/228357/16449/12125/58198/14155/56198/20474/231470/18993/14234/83557/14165/12159/13838/18510/55994/14228/71805/14260/13642/18654/17260/19378/14461/218772/15902/243931/11600/107587/11504/18552/18186/269152/93840/14013/19126/14182/73230/76365/24063/18131/23967/17300/14734/15229",53
"50","a","a","GO:2000816","negative regulation of mitotic sister chromatid separation","19/1064","42/23239",5.02048149561166e-15,5.10683377733618e-13,3.76694653691788e-13,"11799/67141/30939/20877/74335/19357/67052/12235/20460/56150/18817/22137/214444/12236/268697/229841/12237/70385/105837",19
"51","a","a","GO:0006310","DNA recombination","46/1064","265/23239",5.31352129698603e-15,5.29893516009235e-13,3.90864600669932e-13,"12544/68275/55982/12189/237877/19360/21973/74335/22596/227525/19361/66634/56456/19891/57434/12545/58186/19362/12144/237911/75317/60530/226409/268465/26909/208084/12190/216853/212377/97165/16881/60344/18861/17688/17685/15510/98415/272551/12649/11792/102871/15289/21974/235559/97827/623474",46
"52","a","a","GO:0072001","renal system development","49/1064","297/23239",5.42938812400139e-15,5.31035923051367e-13,3.91707272751841e-13,"16869/21410/14634/74107/14048/108000/18128/228357/16449/12125/58198/56198/20474/231470/18993/14234/83557/14165/12159/13838/18510/55994/71805/14260/13642/18654/17260/19378/218772/15902/243931/11600/107587/11504/18552/18186/269152/93840/14013/19126/14182/73230/76365/24063/18131/23967/17300/14734/15229",49
"53","a","a","GO:0044784","metaphase/anaphase transition of cell cycle","22/1064","60/23239",7.45983856381966e-15,7.15862998784656e-13,5.28041005788545e-13,"23834/11799/67141/20877/74335/19357/67052/52563/12235/20460/12704/56150/18817/21335/22137/214444/12236/268697/229841/12237/70385/105837",22
"54","a","a","GO:0006403","RNA localization","36/1064","171/23239",1.11393339460693e-14,1.04916023055015e-12,7.73890568884812e-13,"68278/445007/21681/72787/54563/110379/245474/223921/227715/234865/216853/18226/15382/103468/432508/24015/72124/68879/53379/140486/53817/103573/225027/70640/23881/19384/140488/66165/71805/12461/59015/107939/18148/21454/109095/276770",36
"55","a","a","GO:0045839","negative regulation of mitotic nuclear division","21/1064","55/23239",1.17894942584771e-14,1.09020668724753e-12,8.041676083677e-13,"11799/67141/30939/20877/74335/19357/67052/12235/20460/56150/18817/22137/214444/12236/268697/229841/12237/70385/12159/105837/12649",21
"56","a","a","GO:1905819","negative regulation of chromosome separation","19/1064","44/23239",1.45088124168112e-14,1.31771107056968e-12,9.71981343111189e-13,"11799/67141/30939/20877/74335/19357/67052/12235/20460/56150/18817/22137/214444/12236/268697/229841/12237/70385/105837",19
"57","a","a","GO:0033047","regulation of mitotic sister chromatid segregation","23/1064","69/23239",1.99985871056821e-14,1.78443533367543e-12,1.31625049759282e-12,"23834/11799/67141/30939/20877/74335/19357/67052/52563/12235/20460/12704/56150/18817/21335/22137/214444/12236/268697/229841/12237/70385/105837",23
"58","a","a","GO:0033045","regulation of sister chromatid segregation","25/1064","83/23239",2.12567236309775e-14,1.86399476529572e-12,1.37493580800007e-12,"23834/11799/67141/30939/20877/74335/19357/67052/52563/14156/67849/12235/20460/12704/56150/18817/21335/22137/214444/12236/268697/229841/12237/70385/105837",25
"59","a","a","GO:0033048","negative regulation of mitotic sister chromatid segregation","19/1064","45/23239",2.40398490427701e-14,2.04084169423088e-12,1.50538315670237e-12,"11799/67141/30939/20877/74335/19357/67052/12235/20460/56150/18817/22137/214444/12236/268697/229841/12237/70385/105837",19
"60","a","a","GO:0007052","mitotic spindle organization","28/1064","106/23239",2.40759932469235e-14,2.04084169423088e-12,1.50538315670237e-12,"66442/107995/16551/17865/20877/26934/67052/50850/13006/18005/66977/72119/20878/20460/18817/71819/16571/21335/268697/18226/229841/56742/16211/74237/16569/16765/66165/24061",28
"61","a","a","GO:1901989","positive regulation of cell cycle phase transition","26/1064","91/23239",2.6224769545433e-14,2.18654390013234e-12,1.6128572676432e-12,"12544/13205/68612/27214/237877/11799/67141/12534/67849/12545/12530/76843/108911/268697/12532/229841/50875/12443/14165/105837/67628/14056/19684/11792/18148/11504",26
"62","a","a","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","18/1064","41/23239",5.05229399274447e-14,4.14451084630619e-12,3.05710964178969e-12,"11799/67141/20877/74335/19357/67052/12235/20460/56150/18817/22137/214444/12236/268697/229841/12237/70385/105837",18
"63","a","a","GO:0006270","DNA replication initiation","16/1064","31/23239",5.24823222590088e-14,4.23690620649712e-12,3.12526309993496e-12,"12544/17218/18968/23834/18969/70024/66634/12448/12545/77011/12447/17216/17217/17220/56452/17215",16
"64","a","a","GO:0033046","negative regulation of sister chromatid segregation","19/1064","47/23239",6.30074473715384e-14,5.00712308330694e-12,3.69339707947636e-12,"11799/67141/30939/20877/74335/19357/67052/12235/20460/56150/18817/22137/214444/12236/268697/229841/12237/70385/105837",19
"65","a","a","GO:0030071","regulation of mitotic metaphase/anaphase transition","20/1064","53/23239",6.59998569979615e-14,5.16423496448665e-12,3.80928729296737e-12,"23834/11799/67141/20877/74335/19357/67052/52563/12235/20460/56150/18817/22137/214444/12236/268697/229841/12237/70385/105837",20
"66","a","a","GO:1902749","regulation of cell cycle G2/M phase transition","26/1064","95/23239",8.10099197256469e-14,6.24267351097939e-12,4.60477438440519e-12,"55982/12189/23834/237877/67141/12534/19357/14199/108000/12545/17193/12144/18817/12530/76843/108911/268697/381293/269582/12532/77011/12443/17688/12649/18148/235559",26
